t,acc_g
0,0.00245
0.005,0.00244
0.01,0.00244
0.015,0.00243
0.02,0.00242
0.025,0.00242
0.03,0.00241
0.035,0.0024
0.04,0.00239
0.045,0.00239
0.05,0.00238
0.055,0.00237
0.06,0.00237
0.065,0.00236
0.07,0.00235
0.075,0.00235
0.08,0.00234
0.085,0.00234
0.09,0.00233
0.095,0.00232
0.1,0.00231
0.105,0.0023
0.11,0.00228
0.115,0.00226
0.12,0.00224
0.125,0.00223
0.13,0.00222
0.135,0.00221
0.14,0.0022
0.145,0.00219
0.15,0.00218
0.155,0.00217
0.16,0.00215
0.165,0.00214
0.17,0.00213
0.175,0.00212
0.18,0.00211
0.185,0.0021
0.19,0.00208
0.195,0.00206
0.2,0.00203
0.205,0.002
0.21,0.00197
0.215,0.00194
0.22,0.00192
0.225,0.0019
0.23,0.00188
0.235,0.00188
0.24,0.00188
0.245,0.00188
0.25,0.0019
0.255,0.00191
0.26,0.00193
0.265,0.00195
0.27,0.00197
0.275,0.00198
0.28,0.00198
0.285,0.00196
0.29,0.00194
0.295,0.00192
0.3,0.00189
0.305,0.00186
0.31,0.00181
0.315,0.00175
0.32,0.00168
0.325,0.0016
0.33,0.00152
0.335,0.00146
0.34,0.0014
0.345,0.00135
0.35,0.00131
0.355,0.00129
0.36,0.00128
0.365,0.00128
0.37,0.00128
0.375,0.00128
0.38,0.00126
0.385,0.00123
0.39,0.0012
0.395,0.00117
0.4,0.00115
0.405,0.00111
0.41,0.00106
0.415,0.00101
0.42,0.00094
0.425,0.00087
0.43,0.00079
0.435,0.00072
0.44,0.00068
0.445,0.00067
0.45,0.0007
0.455,0.00075
0.46,0.00081
0.465,0.00089
0.47,0.00098
0.475,0.00106
0.48,0.00111
0.485,0.00112
0.49,0.00106
0.495,0.00098
0.5,0.00091
0.505,0.00085
0.51,0.00078
0.515,0.00069
0.52,0.00059
0.525,0.0005
0.53,0.00041
0.535,0.00032
0.54,0.00022
0.545,0.00013
0.55,0.00004
0.555,-0.00002
0.56,-0.00004
0.565,-0.00001
0.57,0.00007
0.575,0.00017
0.58,0.00024
0.585,0.00028
0.59,0.00027
0.595,0.00021
0.6,0.00012
0.605,0.00003
0.61,-0.00004
0.615,-0.0001
0.62,-0.00015
0.625,-0.00019
0.63,-0.00022
0.635,-0.00025
0.64,-0.00029
0.645,-0.00034
0.65,-0.00039
0.655,-0.00045
0.66,-0.00051
0.665,-0.00054
0.67,-0.00055
0.675,-0.00051
0.68,-0.00042
0.685,-0.00028
0.69,-0.00011
0.695,0.00007
0.7,0.00021
0.705,0.00026
0.71,0.00021
0.715,0.00006
0.72,-0.00015
0.725,-0.00037
0.73,-0.00056
0.735,-0.00068
0.74,-0.00073
0.745,-0.00072
0.75,-0.00068
0.755,-0.00064
0.76,-0.00064
0.765,-0.00069
0.77,-0.00079
0.775,-0.0009
0.78,-0.00101
0.785,-0.00111
0.79,-0.0012
0.795,-0.0013
0.8,-0.0014
0.805,-0.0015
0.81,-0.00159
0.815,-0.00167
0.82,-0.00172
0.825,-0.00175
0.83,-0.00178
0.835,-0.00186
0.84,-0.00201
0.845,-0.00222
0.85,-0.00241
0.855,-0.00255
0.86,-0.00256
0.865,-0.00243
0.87,-0.00218
0.875,-0.00188
0.88,-0.00159
0.885,-0.00137
0.89,-0.00124
0.895,-0.00121
0.9,-0.00128
0.905,-0.00142
0.91,-0.00161
0.915,-0.0019
0.92,-0.00229
0.925,-0.0028
0.93,-0.00341
0.935,-0.00407
0.94,-0.00471
0.945,-0.0053
0.95,-0.0058
0.955,-0.00622
0.96,-0.00655
0.965,-0.00677
0.97,-0.00683
0.975,-0.0067
0.98,-0.0064
0.985,-0.00595
0.99,-0.00536
0.995,-0.00466
1,-0.00389
1.005,-0.00315
1.01,-0.00254
1.015,-0.00206
1.02,-0.00169
1.025,-0.00145
1.03,-0.00136
1.035,-0.00141
1.04,-0.00156
1.045,-0.00172
1.05,-0.00182
1.055,-0.00185
1.06,-0.00182
1.065,-0.00181
1.07,-0.00185
1.075,-0.00193
1.08,-0.00205
1.085,-0.00222
1.09,-0.00249
1.095,-0.00283
1.1,-0.00315
1.105,-0.00332
1.11,-0.00327
1.115,-0.00301
1.12,-0.00259
1.125,-0.00205
1.13,-0.00142
1.135,-0.00074
1.14,-0.00003
1.145,0.00068
1.15,0.00136
1.155,0.00198
1.16,0.00252
1.165,0.00298
1.17,0.00332
1.175,0.00357
1.18,0.00374
1.185,0.00386
1.19,0.0039
1.195,0.00386
1.2,0.0037
1.205,0.00338
1.21,0.0029
1.215,0.00227
1.22,0.00154
1.225,0.0008
1.23,0.00015
1.235,-0.00038
1.24,-0.00079
1.245,-0.00099
1.25,-0.0009
1.255,-0.00056
1.26,-0.00009
1.265,0.00042
1.27,0.00092
1.275,0.00138
1.28,0.00169
1.285,0.0018
1.29,0.00173
1.295,0.00154
1.3,0.00122
1.305,0.00073
1.31,0.00014
1.315,-0.00041
1.32,-0.00084
1.325,-0.00121
1.33,-0.00165
1.335,-0.00222
1.34,-0.00293
1.345,-0.00369
1.35,-0.00441
1.355,-0.00494
1.36,-0.00527
1.365,-0.00543
1.37,-0.00546
1.375,-0.00541
1.38,-0.00532
1.385,-0.00524
1.39,-0.00519
1.395,-0.00521
1.4,-0.00525
1.405,-0.00522
1.41,-0.00507
1.415,-0.0048
1.42,-0.00444
1.425,-0.00404
1.43,-0.00366
1.435,-0.00332
1.44,-0.00301
1.445,-0.0027
1.45,-0.00239
1.455,-0.00205
1.46,-0.00165
1.465,-0.00109
1.47,-0.00033
1.475,0.00056
1.48,0.00143
1.485,0.00213
1.49,0.00257
1.495,0.00266
1.5,0.00234
1.505,0.00163
1.51,0.00064
1.515,-0.0005
1.52,-0.00165
1.525,-0.00269
1.53,-0.00353
1.535,-0.00411
1.54,-0.0044
1.545,-0.00436
1.55,-0.00396
1.555,-0.00319
1.56,-0.00211
1.565,-0.0009
1.57,0.00028
1.575,0.00131
1.58,0.00218
1.585,0.00287
1.59,0.0034
1.595,0.00379
1.6,0.00407
1.605,0.00427
1.61,0.00438
1.615,0.00439
1.62,0.00432
1.625,0.00421
1.63,0.00403
1.635,0.00372
1.64,0.00326
1.645,0.00271
1.65,0.00219
1.655,0.00177
1.66,0.00146
1.665,0.00122
1.67,0.00104
1.675,0.00088
1.68,0.00074
1.685,0.00062
1.69,0.00058
1.695,0.00065
1.7,0.00088
1.705,0.00134
1.71,0.00203
1.715,0.00294
1.72,0.00398
1.725,0.005
1.73,0.00582
1.735,0.00633
1.74,0.00653
1.745,0.00652
1.75,0.00646
1.755,0.00651
1.76,0.00677
1.765,0.00723
1.77,0.00785
1.775,0.00857
1.78,0.00933
1.785,0.01002
1.79,0.01053
1.795,0.0108
1.8,0.01076
1.805,0.0104
1.81,0.00976
1.815,0.00894
1.82,0.00803
1.825,0.00701
1.83,0.00584
1.835,0.00455
1.84,0.00331
1.845,0.0023
1.85,0.00159
1.855,0.00114
1.86,0.00087
1.865,0.00073
1.87,0.00068
1.875,0.0007
1.88,0.00078
1.885,0.00093
1.89,0.00117
1.895,0.00149
1.9,0.00189
1.905,0.00232
1.91,0.00272
1.915,0.00301
1.92,0.00317
1.925,0.0032
1.93,0.0031
1.935,0.00287
